Rua Tenente Joaquim Lopes Craveiro, Guarda, Concelho de Guarda
Rua de Caveiros, Fonte Boa e Rio Tinto, Esposende
Rua Romana, Santa Maria da Feira, Distrito de Aveiro
Travessa da Agoncida, Santa Maria da Feira, Distrito de Aveiro
Avenida António Henriques, São João da Madeira, Distrito de Aveiro
Avenida Benjamim Araújo, São João da Madeira, Distrito de Aveiro
Avenida da Liberdade, São João da Madeira, Distrito de Aveiro
Avenida da Misericórdia, São João da Madeira, Distrito de Aveiro
Avenida do Brasil, São João da Madeira, Distrito de Aveiro
Avenida do Vale, São João da Madeira, Distrito de Aveiro
Avenida dos Chapeleiros, São João da Madeira, Distrito de Aveiro
Avenida Doutor Afonso Coutinho, São João da Madeira, Distrito de Aveiro
Avenida Doutor Renato Araújo, São João da Madeira, Distrito de Aveiro
Avenida Manuel Viera Araújo, São João da Madeira, Distrito de Aveiro
Avenida Primeiro de Maio, São João da Madeira, Distrito de Aveiro
Largo Conde Dias Garcia, São João da Madeira, Distrito de Aveiro
Largo de Santo António, São João da Madeira, Distrito de Aveiro
Largo de São João, São João da Madeira, Distrito de Aveiro
Praça 25 de Abril, São João da Madeira, Distrito de Aveiro
Praça da República, São João da Madeira, Distrito de Aveiro
Praça Luís Ribeiro, São João da Madeira, Distrito de Aveiro
Rua 11 de Outubro, São João da Madeira, Distrito de Aveiro
Rua 16 Maio, São João da Madeira, Distrito de Aveiro
Rua 5 de Outubro, São João da Madeira, Distrito de Aveiro
Rua Adelino Amaro da Costa, São João da Madeira, Distrito de Aveiro
Rua Alão de Morais, São João da Madeira, Distrito de Aveiro
Rua Albano Martins, São João da Madeira, Distrito de Aveiro
Rua Almeida Garrett, São João da Madeira, Distrito de Aveiro
Rua António Aleixo, São João da Madeira, Distrito de Aveiro
Rua António José das Neves, São João da Madeira, Distrito de Aveiro
Rua António Luis da Costa, São João da Madeira, Distrito de Aveiro
Rua António Nicolau da Costa, São João da Madeira, Distrito de Aveiro
Rua António Nobre, São João da Madeira, Distrito de Aveiro
Rua António Sérgio, São João da Madeira, Distrito de Aveiro
Rua Antero de Quental, São João da Madeira, Distrito de Aveiro
Rua Bartolomeu Dias, São João da Madeira, Distrito de Aveiro
Rua Belmiro Silva, São João da Madeira, Distrito de Aveiro
Rua Benjamim Valente da Silva, São João da Madeira, Distrito de Aveiro
Rua Camilo Castelo Branco, São João da Madeira, Distrito de Aveiro
Rua Carolina Dias Garcia, São João da Madeira, Distrito de Aveiro
Rua Cerqueira Vasconcelos, São João da Madeira, Distrito de Aveiro
Rua Cesário Verde, São João da Madeira, Distrito de Aveiro
Rua Colombano, São João da Madeira, Distrito de Aveiro
Rua Comendador Raínho, São João da Madeira, Distrito de Aveiro
Rua Conde Dias Garcia, São João da Madeira, Distrito de Aveiro
Rua d e Guerra Junqueiro, São João da Madeira, Distrito de Aveiro
Rua da ADS, São João da Madeira, Distrito de Aveiro
Rua da Devesa Velha, São João da Madeira, Distrito de Aveiro
Rua da Fonte Cova, São João da Madeira, Distrito de Aveiro
Rua da Fundição, São João da Madeira, Distrito de Aveiro
Rua da Indústria, São João da Madeira, Distrito de Aveiro
Rua da Liberdade, São João da Madeira, Distrito de Aveiro
Rua da Lousã, São João da Madeira, Distrito de Aveiro
Rua da Mamoinha, São João da Madeira, Distrito de Aveiro
Rua da Mourisca, São João da Madeira, Distrito de Aveiro
Rua da Portela, São João da Madeira, Distrito de Aveiro
Rua da Quintã, São João da Madeira, Distrito de Aveiro
Rua da Restauração, São João da Madeira, Distrito de Aveiro
Rua da Volta, São João da Madeira, Distrito de Aveiro
Rua das Águas, São João da Madeira, Distrito de Aveiro
Rua das Fontaínhas, São João da Madeira, Distrito de Aveiro
Rua das Pedreiras, São João da Madeira, Distrito de Aveiro
Rua de Angola, São João da Madeira, Distrito de Aveiro
Rua de Arouca, São João da Madeira, Distrito de Aveiro
Rua de Cabo Verde, São João da Madeira, Distrito de Aveiro
Rua de Cucujães, São João da Madeira, Distrito de Aveiro
Rua de Fundões, São João da Madeira, Distrito de Aveiro
Rua de Fundo de Vila, São João da Madeira, Distrito de Aveiro
Rua de Macau, São João da Madeira, Distrito de Aveiro
Rua de Milheirós de Poiares, São João da Madeira, Distrito de Aveiro
Rua de Oliveira de Azeméis, São João da Madeira, Distrito de Aveiro
Rua de Olivença, São João da Madeira, Distrito de Aveiro
Rua de Ovar, São João da Madeira, Distrito de Aveiro
Rua de Santa Cruz, São João da Madeira, Distrito de Aveiro
Rua de Santa Maria da Feira, São João da Madeira, Distrito de Aveiro
Rua de Santo António, São João da Madeira, Distrito de Aveiro
Rua de São Francisco Xavier, São João da Madeira, Distrito de Aveiro
Rua de São Paulo, São João da Madeira, Distrito de Aveiro
Rua de São Tiago, São João da Madeira, Distrito de Aveiro
Rua de São Tomé, São João da Madeira, Distrito de Aveiro
Rua de Vale de Cambra, São João da Madeira, Distrito de Aveiro
Rua do Barroco, São João da Madeira, Distrito de Aveiro
Rua do Carquejido, São João da Madeira, Distrito de Aveiro
Rua do Condestável, São João da Madeira, Distrito de Aveiro
Rua do Dourado, São João da Madeira, Distrito de Aveiro
Rua do Douro, São João da Madeira, Distrito de Aveiro
Rua do Orreiro, São João da Madeira, Distrito de Aveiro
Rua do Parrinho, São João da Madeira, Distrito de Aveiro
Rua do Poder Local, São João da Madeira, Distrito de Aveiro
Rua do Sobreiral, São João da Madeira, Distrito de Aveiro
Rua do Tapado, São João da Madeira, Distrito de Aveiro
Rua do Vale do Vouga, São João da Madeira, Distrito de Aveiro
Rua Dom Afonso Henriques, São João da Madeira, Distrito de Aveiro
Rua Domingos José de Oliveira, São João da Madeira, Distrito de Aveiro
Rua dos Açores, São João da Madeira, Distrito de Aveiro
Rua dos Bombeiros Voluntários, São João da Madeira, Distrito de Aveiro
Rua dos Combatentes do Ultramar, São João da Madeira, Distrito de Aveiro
Rua dos Ribes, São João da Madeira, Distrito de Aveiro
Rua dos Sapateiros, São João da Madeira, Distrito de Aveiro
Rua Doutor Maciel, São João da Madeira, Distrito de Aveiro
Rua Doutor Sá Carneiro, São João da Madeira, Distrito de Aveiro
Rua Doutor Serafim Leite, São João da Madeira, Distrito de Aveiro
Rua Durbalino Laranjeira, São João da Madeira, Distrito de Aveiro
Rua Eça de Queirós, São João da Madeira, Distrito de Aveiro
Rua Enedina Garcia, São João da Madeira, Distrito de Aveiro
Rua Fernando Pessoa, São João da Madeira, Distrito de Aveiro
Rua Frederico Ulrich, São João da Madeira, Distrito de Aveiro
Rua Gil Vicente, São João da Madeira, Distrito de Aveiro
Rua Grupo Patriótico Sanjoanense, São João da Madeira, Distrito de Aveiro
Rua Guerra Junqueiro, São João da Madeira, Distrito de Aveiro
Rua Infante Dom Henrique, São João da Madeira, Distrito de Aveiro
Rua Infante Santo, São João da Madeira, Distrito de Aveiro
Rua Jaime Afreixo, São João da Madeira, Distrito de Aveiro
Rua Júlio Dinis, São João da Madeira, Distrito de Aveiro
Rua João da Silva Correia, São João da Madeira, Distrito de Aveiro
Rua João das Regras, São João da Madeira, Distrito de Aveiro
Rua João de Deus, São João da Madeira, Distrito de Aveiro
Rua Jornal O Regional, São João da Madeira, Distrito de Aveiro
Rua José Moreira, São João da Madeira, Distrito de Aveiro
Rua José Régio, São João da Madeira, Distrito de Aveiro
Rua José Soares da Silva, São João da Madeira, Distrito de Aveiro
Rua Luís de Camões, São João da Madeira, Distrito de Aveiro
Rua Luis de Camões, São João da Madeira, Distrito de Aveiro
Rua Maestro Rui Ferrão, São João da Madeira, Distrito de Aveiro
Rua Manuel Luís da Costa, São João da Madeira, Distrito de Aveiro
Rua Manuel Luís Leite Junior, São João da Madeira, Distrito de Aveiro
Rua Manuel Vieira Araújo, São João da Madeira, Distrito de Aveiro
Rua Manuel Viera Araújo, São João da Madeira, Distrito de Aveiro
Rua Mouzinho de Albuquerque, São João da Madeira, Distrito de Aveiro
Rua Nova do Arruamento, São João da Madeira, Distrito de Aveiro
Rua Oliveira Figueiredo, São João da Madeira, Distrito de Aveiro
Rua Oliveira Junior, São João da Madeira, Distrito de Aveiro
Rua Padre Cruz, São João da Madeira, Distrito de Aveiro
Rua Padre Oliveira, São João da Madeira, Distrito de Aveiro
Rua Pedra do Homem, São João da Madeira, Distrito de Aveiro
Rua Pedro Martins Palmares, São João da Madeira, Distrito de Aveiro
Rua Professor Egas Moniz, São João da Madeira, Distrito de Aveiro
Rua Professora Adosinda Valente, São João da Madeira, Distrito de Aveiro
Rua Roberto Ivens, São João da Madeira, Distrito de Aveiro
Rua São João de Brito, São João da Madeira, Distrito de Aveiro
Rua Soares dos Reis, São João da Madeira, Distrito de Aveiro
Rua Sophia de Mello Breyner, São João da Madeira, Distrito de Aveiro
Rua Teixeira de Pacoais, São João da Madeira, Distrito de Aveiro
Rua Vasco da Gama, São João da Madeira, Distrito de Aveiro
Rua Vieira da Silva, São João da Madeira, Distrito de Aveiro
Rua Visconde de São João da Madeira, São João da Madeira, Distrito de Aveiro
Rua Vitorino Lisboa, São João da Madeira, Distrito de Aveiro
Travessa Adelino Amaro da Costa, São João da Madeira, Distrito de Aveiro
Travessa António Nobre, São João da Madeira, Distrito de Aveiro
Travessa Comendador Rainho, São João da Madeira, Distrito de Aveiro
Travessa de São Francisco Xavier, São João da Madeira, Distrito de Aveiro
Travessa do Parrinho, São João da Madeira, Distrito de Aveiro
Travessa Enedina Garcia, São João da Madeira, Distrito de Aveiro
Travessa Rua Visconde São João da Madeira, São João da Madeira, Distrito de Aveiro
Travessa Cova da Raposa, Oliveira de Azeméis, Distrito de Aveiro
Rua da Quinta da Clementina, Aveiro, Distrito de Aveiro
Rua Direita da Póvoa do Valado, Aveiro, Distrito de Aveiro
Rua do Carrajão, Aveiro, Distrito de Aveiro
Rua Sérgio Vieira de Melo, Aveiro, Distrito de Aveiro
Rua dos Industriais, Águeda, Distrito de Aveiro
Rua de Aveiro, Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela, Viana do Castelo
Rua Bernardino Craveiro, Vila do Conde, Concelho de Vila do Conde
Rua Cidade de Aveiro, Vila do Conde, Concelho de Vila do Conde
Acesso à Norauto, Aradas, Aveiro
Alameda da Escola, Aradas, Aveiro
Avenida da Carregueira, Aradas, Aveiro
Avenida da Universidade, Aradas, Aveiro
Avenida Dom Frei Miguel de Bulhões e Souza, Aradas, Aveiro
Beco das Leirinhas, Aradas, Aveiro
Beco do Crasto, Aradas, Aveiro
Beco do Mourinho, Aradas, Aveiro
Beco do Murtório, Aradas, Aveiro
Glicínias, Aradas, Aveiro
Largo da Torre do Canha, Aradas, Aveiro
Largo de Acácio Rosa, Aradas, Aveiro
Ponte Pedonal, Aradas, Aveiro
Praceta de Ílhavo, Aradas, Aveiro
Praceta do Canha, Aradas, Aveiro
Praceta do Doutor Ernesto Paiva, Aradas, Aveiro
Praceta dos Correios, Aradas, Aveiro
Praceta dos Oleiros, Aradas, Aveiro
Praceta Duarte da Rocha, Aradas, Aveiro
Rotunda da Pedra Moura, Aradas, Aveiro
Rotunda de Damão, Aradas, Aveiro
Rotunda do Brejo, Aradas, Aveiro
Rotunda do Eucalipto, Aradas, Aveiro
Rua Bairro Maria Ferreira, Aradas, Aveiro
Rua da Agra, Aradas, Aveiro
Rua da Alfândega, Aradas, Aveiro
Rua da Amarona, Aradas, Aveiro
Rua da Bela Vista, Aradas, Aveiro
Rua da Cabreira, Aradas, Aveiro
Rua da Canseira, Aradas, Aveiro
Rua da Capela, Aradas, Aveiro
Rua da Carregueira, Aradas, Aveiro
Rua da Fonte Velha, Aradas, Aveiro
Rua da Marafusa, Aradas, Aveiro
Rua da Mateda, Aradas, Aveiro
Rua da Mauricia, Aradas, Aveiro
Rua da Oliveira, Aradas, Aveiro
Rua da Pedra Moura, Aradas, Aveiro
Rua da Pilôta, Aradas, Aveiro
Rua da Primagera, Aradas, Aveiro
Rua da Quinta, Aradas, Aveiro
Rua da Quinta de Cima, Aradas, Aveiro
Rua da Soalheira, Aradas, Aveiro
Rua da Teceloa, Aradas, Aveiro
Rua da Ucha, Aradas, Aveiro
Rua das Canas, Aradas, Aveiro
Rua das Cavadas, Aradas, Aveiro
Rua das Leirinhas, Aradas, Aveiro
Rua de Ovar, Aradas, Aveiro
Rua de São João, Aradas, Aveiro
Rua de Trás, Aradas, Aveiro
Rua Direita, Aradas, Aveiro
Rua Direita de Aradas, Aradas, Aveiro
Rua do Abreu, Aradas, Aveiro
Rua do Alquebe, Aradas, Aveiro
Rua do Baixeiro, Aradas, Aveiro
Rua do Beato, Aradas, Aveiro
Rua do Beco, Aradas, Aveiro
Rua do Brejo, Aradas, Aveiro
Rua do Buragal, Aradas, Aveiro
Rua do Cabeço, Aradas, Aveiro
Rua do Capitão Lebre, Aradas, Aveiro
Rua do Cardal, Aradas, Aveiro
Rua do Carocho, Aradas, Aveiro
Rua do Carregueiro, Aradas, Aveiro
Rua do Crasto, Aradas, Aveiro
Rua do Doutor Alberto Souto, Aradas, Aveiro
Rua do Masquitão, Aradas, Aveiro
Rua do Padre Daniel Correia Rama, Aradas, Aveiro
Rua do Parola, Aradas, Aveiro
Rua do Queimado, Aradas, Aveiro
Rua do Reguinho, Aradas, Aveiro
Rua do Sacobão, Aradas, Aveiro
Rua do Sol, Aradas, Aveiro
Rua do Solar da Nossa Senhora das Dores, Aradas, Aveiro
Rua do Tenente Manuel Malaquias de Oliveira, Aradas, Aveiro
Rua do Vale, Aradas, Aveiro
Rua do Vale Barrega, Aradas, Aveiro
Rua do Vale do Barrega, Aradas, Aveiro
Rua dos Adobeiros, Aradas, Aveiro
Rua dos Eucaliptos, Aradas, Aveiro
Rua dos Louros, Aradas, Aveiro
Rua Doutor Girão Pereira, Aradas, Aveiro
Rua Doutor Mário Sacramento, Aradas, Aveiro
Rua Duarte da Rocha, Aradas, Aveiro
Rua Eça de Queiróz, Aradas, Aveiro
Rua Engenheiro Basílio Tavares Lebre, Aradas, Aveiro
Rua Engenheiro Carlos Bóia, Aradas, Aveiro
Rua Fernando José de Queirós, Aradas, Aveiro
Rua João Gonçalves Neto, Aradas, Aveiro
Rua João Nunes Rocha, Aradas, Aveiro
Rua João Simões de Oliveira, Aradas, Aveiro
Rua José António Sá Leão, Aradas, Aveiro
Rua Manuel Barbuda de Vasconcelos, Aradas, Aveiro
Rua Manuel Nunes Ramos, Aradas, Aveiro
Rua Nossa Senhora da Saúde, Aradas, Aveiro
Rua Nossa Senhora do Carmo, Aradas, Aveiro
Rua Nova do Alquebe, Aradas, Aveiro
Rua Professor Júlio Catarino, Aradas, Aveiro
Rua Professor Manuel Estudante Silva, Aradas, Aveiro
Rua Professor Rocha Martins, Aradas, Aveiro
Rua Professora Maria Adriana da Rocha Martins, Aradas, Aveiro
Rua Visconde do Barreiro, Aradas, Aveiro
Travessa da Cabreira, Aradas, Aveiro
Travessa da Estação, Aradas, Aveiro
Travessa da Rua da Agra, Aradas, Aveiro
Travessa da Rua do Brejo, Aradas, Aveiro
Travessa da Rua do Cabeço, Aradas, Aveiro
Travessa da Rua do Quimado, Aradas, Aveiro
Travessa da Rua João Gonçalves Neto, Aradas, Aveiro
Travessa das Cavadas, Aradas, Aveiro
Travessa das Leirinhas, Aradas, Aveiro
Travessa de Nossa Senhora do Carmo, Aradas, Aveiro
Travessa do Abreu, Aradas, Aveiro
Travessa do Beixeiro, Aradas, Aveiro
Travessa do Cabeço, Aradas, Aveiro
Travessa do Crasto, Aradas, Aveiro
Travessa do Eucalipto Sul, Aradas, Aveiro
Travessa do Reguinho, Aradas, Aveiro
Travessa Professor Júlio Catarino, Aradas, Aveiro
Urbanização Glicínias Park, Aradas, Aveiro
Viela da Azenha, Aradas, Aveiro
Viela da Cardosa, Aradas, Aveiro
Viela da Quinta, Aradas, Aveiro
Viela das Arotas, Aradas, Aveiro
Avenida Fernando Augusto de Oliveira, Cacia, Aveiro
Avenida Manuel Álvaro Lopes Pereira, Cacia, Aveiro
Área de Serviço de Aveiro, Cacia, Aveiro
Beco das Alminhas, Cacia, Aveiro
Estrada CEE, Cacia, Aveiro
Largo 5 de Outubro, Cacia, Aveiro
Largo Conselheiro Nunes da Silva, Cacia, Aveiro
Pavilhão do Cenap de Cacia, Cacia, Aveiro
Ponte de Angeja, Cacia, Aveiro
Praça Manuel Ferreira Marques Damião, Cacia, Aveiro
Praceta Amadeu do Vale, Cacia, Aveiro
Praceta da Amizade, Cacia, Aveiro
Praceta da Rua da República, Cacia, Aveiro
Praceta do Cenap, Cacia, Aveiro
Praceta dos Bons Vizinhos, Cacia, Aveiro
Praceta Henrique Nunes Silva, Cacia, Aveiro
Rotunda da Junqueira, Cacia, Aveiro
Rua 25 de Abril, Cacia, Aveiro
Rua 31 de Janeiro, Cacia, Aveiro
Rua Amadeu do Vale, Cacia, Aveiro
Rua António Pinto Prefeito, Cacia, Aveiro
Rua Burinhal, Cacia, Aveiro
Rua Cabeço da Povoa, Cacia, Aveiro
Rua Capitão Zeferino de Abreu, Cacia, Aveiro
Rua Chão dos Ralos, Cacia, Aveiro
Rua Chousa do Duarte, Cacia, Aveiro
Rua Conselheiro Nunes da Silva, Cacia, Aveiro
Rua da Agra, Cacia, Aveiro
Rua da Agra do Meio, Cacia, Aveiro
Rua da Alvariça, Cacia, Aveiro
Rua da Amara, Cacia, Aveiro
Rua da Arrôta do Monte, Cacia, Aveiro
Rua da Balia, Cacia, Aveiro
Rua da Bosch, Cacia, Aveiro
Rua da Cabine, Cacia, Aveiro
Rua da Chousa Nova, Cacia, Aveiro
Rua da Constituição, Cacia, Aveiro
Rua da Cruz, Cacia, Aveiro
Rua da Escola, Cacia, Aveiro
Rua da Escola de Cacia, Cacia, Aveiro
Rua da Fonte, Cacia, Aveiro
Rua da Igreja, Cacia, Aveiro
Rua da Junqueira, Cacia, Aveiro
Rua da Liberdade, Cacia, Aveiro
Rua da Mêlhera, Cacia, Aveiro
Rua da Pata, Cacia, Aveiro
Rua da Paz, Cacia, Aveiro
Rua da Presa, Cacia, Aveiro
Rua da Quinta da Clementina, Cacia, Aveiro
Rua da Repúbica, Cacia, Aveiro
Rua da República, Cacia, Aveiro
Rua da Ribeira, Cacia, Aveiro
Rua da Ribeira do Arieiro, Cacia, Aveiro
Rua da Soja Viso, Cacia, Aveiro
Rua da Solidariedade, Cacia, Aveiro
Rua das Almas, Cacia, Aveiro
Rua das Alminhas, Cacia, Aveiro
Rua das Cercas, Cacia, Aveiro
Rua das Marinhas Baixas, Cacia, Aveiro
Rua das Russadinhas, Cacia, Aveiro
Rua de José Dias dos Santos, Cacia, Aveiro
Rua de José Estévão, Cacia, Aveiro
Rua de Santo André, Cacia, Aveiro
Rua de Santo António, Cacia, Aveiro
Rua de São Julião, Cacia, Aveiro
Rua Direita, Cacia, Aveiro
Rua Direita da Escola, Cacia, Aveiro
Rua do Brejo, Cacia, Aveiro
Rua do Campo, Cacia, Aveiro
Rua do Correguinho, Cacia, Aveiro
Rua do Correquinho, Cacia, Aveiro
Rua do Laranjal, Cacia, Aveiro
Rua do Padrão, Cacia, Aveiro
Rua do Progresso, Cacia, Aveiro
Rua do Ribeiro, Cacia, Aveiro
Rua do Salgueiral, Cacia, Aveiro
Rua do Samoucal, Cacia, Aveiro
Rua do Sol, Cacia, Aveiro
Rua do Val, Cacia, Aveiro
Rua do Vale Côvo, Cacia, Aveiro
Rua dos Bombeiros da Celulose, Cacia, Aveiro
Rua dos Combatentes de Cacia, Cacia, Aveiro
Rua dos Ervideiros, Cacia, Aveiro
Rua dos Lares, Cacia, Aveiro
Rua dos Matos Novos, Cacia, Aveiro
Rua dos Poisios, Cacia, Aveiro
Rua Doutor Alberto Souto, Cacia, Aveiro
Rua Doutor Cristiano Nina, Cacia, Aveiro
Rua Doutor Manuel Arriaga, Cacia, Aveiro
Rua Doutor Manuel Dias Ferreira, Cacia, Aveiro
Rua Doutor Marques da Costa, Cacia, Aveiro
Rua Doutor Tomás de Aquino, Cacia, Aveiro
Rua Ecos de Cacia, Cacia, Aveiro
Rua Engenheiro Francisco Maçarico, Cacia, Aveiro
Rua Engenheiro Jaime Rodrigues Nina, Cacia, Aveiro
Rua Fonte Campinho, Cacia, Aveiro
Rua Francisco Manuel Couceiro da Costa, Cacia, Aveiro
Rua João Chagas, Cacia, Aveiro
Rua João Joaquim Nunes da Silva, Cacia, Aveiro
Rua João Simões Costa, Cacia, Aveiro
Rua Luis de Camões, Cacia, Aveiro
Rua Manuel Simões Miranda, Cacia, Aveiro
Rua Manuel Soares de Almeira, Cacia, Aveiro
Rua Maria Mendes, Cacia, Aveiro
Rua Marquês de Pombal, Cacia, Aveiro
Rua Matos Novos, Cacia, Aveiro
Rua Morgado de Vilarinho, Cacia, Aveiro
Rua Padre Virgílio Susana Dias, Cacia, Aveiro
Rua Pedro Álvares Cabral, Cacia, Aveiro
Rua Primeiro de Dezembro, Cacia, Aveiro
Rua Professor Simões dos Santos, Cacia, Aveiro
Rua Professor Vidal Oudinot, Cacia, Aveiro
Rua Santa Mafalda, Cacia, Aveiro
Rua Santos e Carvalho, Cacia, Aveiro
Rua Sector 11, Cacia, Aveiro
Rua Tenente Coronel José Afonso Lucas, Cacia, Aveiro
Rua Vale Caseiro, Cacia, Aveiro
Rua Vasco da Gama, Cacia, Aveiro
Travessa À Rua Doutor Tomás de Aquino, Cacia, Aveiro
Travessa da Alvariça, Cacia, Aveiro
Travessa da Amara, Cacia, Aveiro
Travessa da Arrôta do Monte, Cacia, Aveiro
Travessa da Chousa Nova, Cacia, Aveiro
Travessa da Rua da Paz, Cacia, Aveiro
Travessa da Rua da República, Cacia, Aveiro
Travessa das Russadinhas, Cacia, Aveiro
Travessa de José Estêvão, Cacia, Aveiro
Travessa de Santa Mafalda, Cacia, Aveiro
Travessa do Brejo, Cacia, Aveiro
Travessa do Padrão, Cacia, Aveiro
Travessa Professor Vidal Oudinot, Cacia, Aveiro
Viela da Cardosa, Cacia, Aveiro
Viela da Sebastiana, Cacia, Aveiro
Viela do Ribeiro, Cacia, Aveiro
Viela dos Louros, Cacia, Aveiro
Alameda Maria Tereza de Melo, Esgueira, Aveiro
Alameda Silva Rocha, Esgueira, Aveiro
Arrocheiras de Baixo, Esgueira, Aveiro
Arrocheiras de Cima, Esgueira, Aveiro
Avenida das Agras, Esgueira, Aveiro
Avenida Doutor Carlos Candal, Esgueira, Aveiro
Avenida Manuel Maria da Rocha Colmieiro, Esgueira, Aveiro
Avenida Vasco Branco, Esgueira, Aveiro
Bairro Manuel Duarte, Esgueira, Aveiro
Beco da Rua das Flores, Esgueira, Aveiro
Beco das Andorinhas, Esgueira, Aveiro
Beco das Arrocheiras de Cima, Esgueira, Aveiro
Estrada Cidadela de Aveiro, Esgueira, Aveiro
Estrada da Taboeira, Esgueira, Aveiro
Estrada da Tabueira, Esgueira, Aveiro
Largo da Capela, Esgueira, Aveiro
Largo da Fonte, Esgueira, Aveiro
Largo da Igreja, Esgueira, Aveiro
Largo do Pelourinho, Esgueira, Aveiro
McDonald's Drive-Through, Esgueira, Aveiro
Plataforma das Linhas 4 e 5, Esgueira, Aveiro
Praça da Quinta do Olho de Água, Esgueira, Aveiro
Praceta da Rua do Sol, Esgueira, Aveiro
Praceta das Cascorras, Esgueira, Aveiro
Praceta de Santo António, Esgueira, Aveiro
Praceta de São Bartolomeu, Esgueira, Aveiro
Praceta Doutor Artur Alves Moreira, Esgueira, Aveiro
Praceta João de Figueiredo, Esgueira, Aveiro
Praceta José Gonçalves Venâncio, Esgueira, Aveiro
Praceta Mário Nascimentos, Esgueira, Aveiro
Quinta da Boavista, Esgueira, Aveiro
Rotunda do Olho de Água, Esgueira, Aveiro
Rua 25 de Abril, Esgueira, Aveiro
Rua 4 de Outubro, Esgueira, Aveiro
Rua Adriano Serra, Esgueira, Aveiro
Rua Américo Ramalho, Esgueira, Aveiro
Rua António Marques da Graça, Esgueira, Aveiro
Rua António Ribeiro da Silva, Esgueira, Aveiro
Rua António Rodrigues Oliveira, Esgueira, Aveiro
