Rua Tenente Joaquim Lopes Craveiro, Guarda, Concelho de Guarda
Rua Artur de Almeida Eça, Esgueira, Aveiro
Rua B - Bairro do Vouga, Esgueira, Aveiro
Rua Bento Moura, Esgueira, Aveiro
Rua Cabecinho das Pedras, Esgueira, Aveiro
Rua Campo de Cavalos, Esgueira, Aveiro
Rua Carlos Alberto Moreira, Esgueira, Aveiro
Rua Central, Esgueira, Aveiro
Rua Chão do Monte, Esgueira, Aveiro
Rua Conde da Taboeira, Esgueira, Aveiro
Rua Condessa da Taboeira, Esgueira, Aveiro
Rua da Agra, Esgueira, Aveiro
Rua da Alegria, Esgueira, Aveiro
Rua da Amizade, Esgueira, Aveiro
Rua da Balseira, Esgueira, Aveiro
Rua da Batalha, Esgueira, Aveiro
Rua da Bela Vista, Esgueira, Aveiro
Rua da Boavista, Esgueira, Aveiro
Rua da Carramona, Esgueira, Aveiro
Rua da Carreira Branca, Esgueira, Aveiro
Rua da Encosta, Esgueira, Aveiro
Rua da Encosta da Fonte, Esgueira, Aveiro
Rua da Escola, Esgueira, Aveiro
Rua da Floresta, Esgueira, Aveiro
Rua da Fonte, Esgueira, Aveiro
Rua da Igreja, Esgueira, Aveiro
Rua da Infância, Esgueira, Aveiro
Rua da Junqueira, Esgueira, Aveiro
Rua da Lagoinha, Esgueira, Aveiro
Rua da Liberdade, Esgueira, Aveiro
Rua da Pedreira, Esgueira, Aveiro
Rua da Quinta da Clementina, Esgueira, Aveiro
Rua da Quinta das Acácias, Esgueira, Aveiro
Rua da Raposa, Esgueira, Aveiro
Rua da República, Esgueira, Aveiro
Rua da Sofia, Esgueira, Aveiro
Rua da Ucha, Esgueira, Aveiro
Rua das Agras, Esgueira, Aveiro
Rua das Andorinhas, Esgueira, Aveiro
Rua das Cardadeiras, Esgueira, Aveiro
Rua das Cascorras, Esgueira, Aveiro
Rua das Flores, Esgueira, Aveiro
Rua das Fontainhas, Esgueira, Aveiro
Rua das Quintas Novas, Esgueira, Aveiro
Rua das Vielas, Esgueira, Aveiro
Rua de José Falcão, Esgueira, Aveiro
Rua de Manuel de Melo Freitas, Esgueira, Aveiro
Rua de Santa Luzia, Esgueira, Aveiro
Rua de Santo André, Esgueira, Aveiro
Rua de São Bartolomeu, Esgueira, Aveiro
Rua de São João, Esgueira, Aveiro
Rua de São João de Deus, Esgueira, Aveiro
Rua de Vicente Almeida de Eça, Esgueira, Aveiro
Rua de Viseu, Esgueira, Aveiro
Rua Dias Canarim, Esgueira, Aveiro
Rua Direita da Escola, Esgueira, Aveiro
Rua do Bairro do Vouga, Esgueira, Aveiro
Rua do Cabo Luís, Esgueira, Aveiro
Rua do Caião, Esgueira, Aveiro
Rua do Casal, Esgueira, Aveiro
Rua do Chão da Correia, Esgueira, Aveiro
Rua do Courego, Esgueira, Aveiro
Rua do Cruzeiro, Esgueira, Aveiro
Rua do Facho, Esgueira, Aveiro
Rua do Floral de Esgueira, Esgueira, Aveiro
Rua do General Costa Cascais, Esgueira, Aveiro
Rua do Monte do Paço, Esgueira, Aveiro
Rua do Monto Novo, Esgueira, Aveiro
Rua do Repouso, Esgueira, Aveiro
Rua do Senhorio, Esgueira, Aveiro
Rua do Sol Poente, Esgueira, Aveiro
Rua do Vero, Esgueira, Aveiro
Rua do Viso, Esgueira, Aveiro
Rua Dom Domingos Apresentação Fernandes, Esgueira, Aveiro
Rua Dom Sancho I, Esgueira, Aveiro
Rua Dona Madalena de Vilhena, Esgueira, Aveiro
Rua dos Aidos, Esgueira, Aveiro
Rua dos Arneiros, Esgueira, Aveiro
Rua dos Covões, Esgueira, Aveiro
Rua dos Lavadouros, Esgueira, Aveiro
Rua dos Pereiros, Esgueira, Aveiro
Rua dos Poisios, Esgueira, Aveiro
Rua dos Queimados, Esgueira, Aveiro
Rua dos Rasos, Esgueira, Aveiro
Rua dos Santos Populares, Esgueira, Aveiro
Rua Doutor António Alberto Dias, Esgueira, Aveiro
Rua Doutor Artur Moreira, Esgueira, Aveiro
Rua Doutor Lourenço Peixinho, Esgueira, Aveiro
Rua Duarte Ludgero, Esgueira, Aveiro
Rua Elísio Filinto Feio, Esgueira, Aveiro
Rua Engenheiro João Coutinho de Lima, Esgueira, Aveiro
Rua General José Domingues Peres, Esgueira, Aveiro
Rua Glória de Assunção Costa Lemos, Esgueira, Aveiro
Rua Godinho, Esgueira, Aveiro
Rua João Francisco do Casal, Esgueira, Aveiro
Rua José Luciano de Castro, Esgueira, Aveiro
Rua Luís de Camões, Esgueira, Aveiro
Rua Manuel Fernandes da Silva, Esgueira, Aveiro
Rua Marcos Vidal, Esgueira, Aveiro
Rua Mariano Ludgero, Esgueira, Aveiro
Rua Mário Duarte (filho), Esgueira, Aveiro
Rua Moisés Cabica, Esgueira, Aveiro
Rua Noda do Caião, Esgueira, Aveiro
Rua Nossa Senhora das Necessidades, Esgueira, Aveiro
Rua Nossa Senhora dos Anjos, Esgueira, Aveiro
Rua Nova, Esgueira, Aveiro
Rua Nova do Caião, Esgueira, Aveiro
Rua Nova do Milão, Esgueira, Aveiro
Rua Padre José Maria Taborda, Esgueira, Aveiro
Rua Padre Manuel Marques Ferreira, Esgueira, Aveiro
Rua Pedro Vaz d'Eça, Esgueira, Aveiro
Rua Primeiro de Maio, Esgueira, Aveiro
Rua Quinta da Rapada, Esgueira, Aveiro
Rua Quinta das Oliveira, Esgueira, Aveiro
Rua Ribeiro da Horta, Esgueira, Aveiro
Rua Santo António do Mudo, Esgueira, Aveiro
Rua Sérgio Vieira de Melo, Esgueira, Aveiro
Rua Senhora do Álamo, Esgueira, Aveiro
Rua Treze de Maio, Esgueira, Aveiro
Rua Vale de Marinhas, Esgueira, Aveiro
Rua Valmarinhas, Esgueira, Aveiro
Travessa Adriano Serra, Esgueira, Aveiro
Travessa da Boavista, Esgueira, Aveiro
Travessa da Escola, Esgueira, Aveiro
Travessa da Fonte de Cima, Esgueira, Aveiro
Travessa da Liberdade, Esgueira, Aveiro
Travessa da Malha, Esgueira, Aveiro
Travessa da Maria da Fonte, Esgueira, Aveiro
Travessa da Palhuça, Esgueira, Aveiro
Travessa da Patuleia, Esgueira, Aveiro
Travessa da Rua da República, Esgueira, Aveiro
Travessa da Rua das Flores, Esgueira, Aveiro
Travessa da Rua do Caião, Esgueira, Aveiro
Travessa da Rua do Viso, Esgueira, Aveiro
Travessa da Rua dos Queimados, Esgueira, Aveiro
Travessa das Andorinhas, Esgueira, Aveiro
Travessa das Arrocheiras de Cima, Esgueira, Aveiro
Travessa das Cardadeiras, Esgueira, Aveiro
Travessa das Cascorras, Esgueira, Aveiro
Travessa das Pombas, Esgueira, Aveiro
Travessa de Milão, Esgueira, Aveiro
Travessa Dias Canarim, Esgueira, Aveiro
Travessa do Cabeço, Esgueira, Aveiro
Travessa do Cabo Luis, Esgueira, Aveiro
Travessa do Espírito Santo, Esgueira, Aveiro
Travessa do Monte do Paço, Esgueira, Aveiro
Travessa do Pelourinho, Esgueira, Aveiro
Travessa dos Eucaliptos, Esgueira, Aveiro
Travessa Nossa Senhora dos Anjos, Esgueira, Aveiro
Viela da Capela, Esgueira, Aveiro
Viela da Fonte, Esgueira, Aveiro
Avenida do Chão de Baixo, Oliveirinha, Aveiro
Beco do Pinhal, Oliveirinha, Aveiro
Largo do Cruzeiro da Feira, Oliveirinha, Aveiro
Plataforma da Linha 1, Oliveirinha, Aveiro
Plataforma da Linha 2, Oliveirinha, Aveiro
Rua Circunvalação da Moita, Oliveirinha, Aveiro
Rua Cirgueiras, Oliveirinha, Aveiro
Rua Conselheiro Arnaldo Vidal, Oliveirinha, Aveiro
Rua da Alagoa, Oliveirinha, Aveiro
Rua da Capela, Oliveirinha, Aveiro
Rua da Capela Nova, Oliveirinha, Aveiro
Rua da Casa do Povo, Oliveirinha, Aveiro
Rua da Cavadinha, Oliveirinha, Aveiro
Rua da Charca, Oliveirinha, Aveiro
Rua da Estação, Oliveirinha, Aveiro
Rua da Fábrica, Oliveirinha, Aveiro
Rua da Fonte de Longe, Oliveirinha, Aveiro
Rua da Granja de Baixo, Oliveirinha, Aveiro
Rua da Granja de Cima, Oliveirinha, Aveiro
Rua da Maritona, Oliveirinha, Aveiro
Rua da Misericórdia, Oliveirinha, Aveiro
Rua da Moita, Oliveirinha, Aveiro
Rua da Peneireira, Oliveirinha, Aveiro
Rua da Quinta Nova, Oliveirinha, Aveiro
Rua da Vizalha, Oliveirinha, Aveiro
Rua das Cavadas, Oliveirinha, Aveiro
Rua das Paradas, Oliveirinha, Aveiro
Rua das Quintas de Aveiro, Oliveirinha, Aveiro
Rua das Relvadas, Oliveirinha, Aveiro
Rua de Francisco Sá Carneiro, Oliveirinha, Aveiro
Rua de Santo António, Oliveirinha, Aveiro
Rua de São Francisco, Oliveirinha, Aveiro
Rua de São João, Oliveirinha, Aveiro
Rua Direita, Oliveirinha, Aveiro
Rua Direita da Póvoa do Valado, Oliveirinha, Aveiro
Rua Direita de Aradas, Oliveirinha, Aveiro
Rua do Barreiro, Oliveirinha, Aveiro
Rua do Cabeço, Oliveirinha, Aveiro
Rua do Carregueiro, Oliveirinha, Aveiro
Rua do Castanheiro, Oliveirinha, Aveiro
Rua do Chão de Marinha, Oliveirinha, Aveiro
Rua do Lamarão, Oliveirinha, Aveiro
Rua do Picoto, Oliveirinha, Aveiro
Rua do Pinhal, Oliveirinha, Aveiro
Rua do Rapadouro, Oliveirinha, Aveiro
Rua do Rego da Venda, Oliveirinha, Aveiro
Rua do Síndico, Oliveirinha, Aveiro
Rua do Vale Barrega, Oliveirinha, Aveiro
Rua do Vale da Moita, Oliveirinha, Aveiro
Rua dos Melões, Oliveirinha, Aveiro
Rua dos Portinhos, Oliveirinha, Aveiro
Rua José Ferreira Dias, Oliveirinha, Aveiro
Rua Justa Ferreira Dias, Oliveirinha, Aveiro
Rua Primeiro de Maio, Oliveirinha, Aveiro
Rua Professor Vidal, Oliveirinha, Aveiro
Rua Tomé de Barros Queirós, Oliveirinha, Aveiro
Rua Vale do Diogo, Oliveirinha, Aveiro
Travessa da Escola Velha, Oliveirinha, Aveiro
Travessa da Gandara, Oliveirinha, Aveiro
Travessa da Maritona, Oliveirinha, Aveiro
Travessa da Moita, Oliveirinha, Aveiro
Travessa do Lamarão, Oliveirinha, Aveiro
Travessa do Pinhal, Oliveirinha, Aveiro
Travessa do Ramal, Oliveirinha, Aveiro
Travessa do Sol, Oliveirinha, Aveiro
Avenida de Santa Joana, Santa Joana, Aveiro
Avenida Dom Manuel de Almeida Trindade, Santa Joana, Aveiro
Avenida Santo António, Santa Joana, Aveiro
Avenida São João de Brito, Santa Joana, Aveiro
Praça Baden Powell, Santa Joana, Aveiro
Praça das Quatro Estações, Santa Joana, Aveiro
Praça dos Descobrimentos, Santa Joana, Aveiro
Rua 21 de Julho, Santa Joana, Aveiro
Rua 31 de Janeiro, Santa Joana, Aveiro
Rua 8 de Dezembro, Santa Joana, Aveiro
Rua Afonso Costa, Santa Joana, Aveiro
Rua Alexandre Herculano, Santa Joana, Aveiro
Rua António Coelho de Magalhães, Santa Joana, Aveiro
Rua Bartolomeu Dias, Santa Joana, Aveiro
Rua Camilo Castelo Branco, Santa Joana, Aveiro
Rua Capitão Acácio, Santa Joana, Aveiro
Rua da Azenha, Santa Joana, Aveiro
Rua da Barroca, Santa Joana, Aveiro
Rua da Bombarda, Santa Joana, Aveiro
Rua da FIDEC, Santa Joana, Aveiro
Rua da Fraternidade, Santa Joana, Aveiro
Rua da Misericórdia, Santa Joana, Aveiro
Rua da Molareira, Santa Joana, Aveiro
Rua da Patela, Santa Joana, Aveiro
Rua da Paz, Santa Joana, Aveiro
Rua da Prata, Santa Joana, Aveiro
Rua da Primavera, Santa Joana, Aveiro
Rua da Quinta do Torto, Santa Joana, Aveiro
Rua da Quinta Nova, Santa Joana, Aveiro
Rua da Quinta Velha, Santa Joana, Aveiro
Rua da Rainha Dona Isabel, Santa Joana, Aveiro
Rua da República, Santa Joana, Aveiro
Rua da Sofia, Santa Joana, Aveiro
Rua das Praias, Santa Joana, Aveiro
Rua das Quintas, Santa Joana, Aveiro
Rua de Almada Negreiros, Santa Joana, Aveiro
Rua de José Morgado, Santa Joana, Aveiro
Rua de Norton de Matos, Santa Joana, Aveiro
Rua de Santa Joana, Santa Joana, Aveiro
Rua de São Brás, Santa Joana, Aveiro
Rua de São João, Santa Joana, Aveiro
Rua de Vasco da Gama, Santa Joana, Aveiro
Rua Diogo Cão, Santa Joana, Aveiro
Rua do Alambique, Santa Joana, Aveiro
Rua do Caião, Santa Joana, Aveiro
Rua do Escultor Romão Júnior, Santa Joana, Aveiro
Rua do Freitas, Santa Joana, Aveiro
Rua do Inverno, Santa Joana, Aveiro
Rua do Ouro, Santa Joana, Aveiro
Rua do Outono, Santa Joana, Aveiro
Rua do Solposto, Santa Joana, Aveiro
Rua do Vale, Santa Joana, Aveiro
Rua do Verão, Santa Joana, Aveiro
Rua do Viso, Santa Joana, Aveiro
Rua Dom Frei Duarte Nunes, Santa Joana, Aveiro
Rua Dom João Evangelista de Lima Vidal, Santa Joana, Aveiro
Rua Dom João II, Santa Joana, Aveiro
Rua Dom José I, Santa Joana, Aveiro
Rua dos Areais, Santa Joana, Aveiro
Rua dos Campinhos, Santa Joana, Aveiro
Rua dos Lusíadas, Santa Joana, Aveiro
Rua dos Olivais, Santa Joana, Aveiro
Rua Doutor Francisco Sá Carneiro, Santa Joana, Aveiro
Rua Eça de Queiros, Santa Joana, Aveiro
Rua Engenheiro Adelino Amaro da Costa, Santa Joana, Aveiro
Rua Fernando Pessoa, Santa Joana, Aveiro
Rua Gil Vicente, Santa Joana, Aveiro
Rua Júlio Dinis, Santa Joana, Aveiro
Rua João Afonso de Aveiro, Santa Joana, Aveiro
Rua João Calisto, Santa Joana, Aveiro
Rua Luís de Camões, Santa Joana, Aveiro
Rua Mário Duarte, Santa Joana, Aveiro
Rua Nova do Viso, Santa Joana, Aveiro
Rua Pedro Álvares Cabral, Santa Joana, Aveiro
Rua Pintor Vieira da Silva, Santa Joana, Aveiro
Rua Pricesa Santa Joana, Santa Joana, Aveiro
Rua São Geraldo, Santa Joana, Aveiro
Rua São Romão, Santa Joana, Aveiro
Rua Vale do Diogo, Santa Joana, Aveiro
Rua Vale do Vouga, Santa Joana, Aveiro
Trav. D. João Evangelista Lima Vidal, Santa Joana, Aveiro
Travessa 21 de Junho, Santa Joana, Aveiro
Travessa da Azenha, Santa Joana, Aveiro
Travessa da Patela - Ramil, Santa Joana, Aveiro
Travessa da Quinta do Torto, Santa Joana, Aveiro
Travessa da Rua do Caião, Santa Joana, Aveiro
Travessa de Molareira, Santa Joana, Aveiro
Travessa do Ouro, Santa Joana, Aveiro
Travessa do Ti Arnaldo, Santa Joana, Aveiro
Zona Residencial da Patela, Santa Joana, Aveiro
Estrada de São Bernardo, São Bernardo, Aveiro
Largo do Pinheiro, São Bernardo, Aveiro
Praceta da Camponesa, São Bernardo, Aveiro
Praceta da Patela, São Bernardo, Aveiro
Rua Aires Lacerda, São Bernardo, Aveiro
Rua Alexandre Coelho, São Bernardo, Aveiro
Rua Anselmo Lopes, São Bernardo, Aveiro
Rua Anselmo Neto, São Bernardo, Aveiro
Rua António Farela, São Bernardo, Aveiro
Rua Bernardo de Claraval, São Bernardo, Aveiro
Rua Brejeira, São Bernardo, Aveiro
Rua Cónego Maio, São Bernardo, Aveiro
Rua Cega, São Bernardo, Aveiro
Rua da Agra, São Bernardo, Aveiro
Rua da Cabreira, São Bernardo, Aveiro
Rua da Camponesa, São Bernardo, Aveiro
Rua da Fonte do Rio de Neto, São Bernardo, Aveiro
Rua da Patela, São Bernardo, Aveiro
Rua da Ucha, São Bernardo, Aveiro
Rua das Areias de Vilar, São Bernardo, Aveiro
Rua das Cilhas, São Bernardo, Aveiro
Rua das Leiras, São Bernardo, Aveiro
Rua das Pajotas, São Bernardo, Aveiro
Rua das Quintas de Aveiro, São Bernardo, Aveiro
Rua de Castela, São Bernardo, Aveiro
Rua de Manuel Matías Reis, São Bernardo, Aveiro
Rua do Areeiro, São Bernardo, Aveiro
Rua do Arquiteto Rogério Barroca, São Bernardo, Aveiro
Rua do Barro, São Bernardo, Aveiro
Rua do Centro Desportivo de São Bernardo, São Bernardo, Aveiro
Rua do Forno, São Bernardo, Aveiro
Rua do Marco, São Bernardo, Aveiro
Rua do Pinhal do Silva, São Bernardo, Aveiro
Rua do Ramal, São Bernardo, Aveiro
Rua Dom Infante Henrique, São Bernardo, Aveiro
Rua dos Barreiros, São Bernardo, Aveiro
Rua dos Campinhos, São Bernardo, Aveiro
Rua dos Emigrantes, São Bernardo, Aveiro
Rua dos Ferreiros, São Bernardo, Aveiro
Rua dos Forninhos, São Bernardo, Aveiro
Rua Doutor Francisco José do Vale Guimarães, São Bernardo, Aveiro
Rua Doutor Girão Pereira, São Bernardo, Aveiro
Rua Eça de Queiroz, São Bernardo, Aveiro
Rua João Lopes, São Bernardo, Aveiro
Rua Manuel Torga, São Bernardo, Aveiro
Rua Nossa Senhora da Saúde, São Bernardo, Aveiro
Rua Nova das Areias, São Bernardo, Aveiro
Rua Nova do Areeiro, São Bernardo, Aveiro
Rua Padre Américo, São Bernardo, Aveiro
Rua Primeiro de Janeiro, São Bernardo, Aveiro
Rua Professor Egas Moniz, São Bernardo, Aveiro
Rua Professor Francisco de Sá Carneiro, São Bernardo, Aveiro
Rua Professor Mário Fernando Canha, São Bernardo, Aveiro
Rua Quinta da Patela, São Bernardo, Aveiro
Rua Quinta do Meu Sonho, São Bernardo, Aveiro
Rua Sociedade Musical Santa Cecília, São Bernardo, Aveiro
Rua Vale Prior, São Bernardo, Aveiro
Travessa da Cabreira, São Bernardo, Aveiro
Travessa da Cruz Alta, São Bernardo, Aveiro
Travessa das Cilhas, São Bernardo, Aveiro
Travessa do Areeiro, São Bernardo, Aveiro
Travessa do Marco, São Bernardo, Aveiro
Travessa dos Barreiros, São Bernardo, Aveiro
Travessa Nossa Senhora da Saúde, São Bernardo, Aveiro
Travessa Padre Américo, São Bernardo, Aveiro
Travessa Primeiro de Janeiro, São Bernardo, Aveiro
Viela dos Aires, São Bernardo, Aveiro
Avenida Almirante Gago Coutinho, São Jacinto, Aveiro
Avenida Marginal, São Jacinto, Aveiro
Avenida Ria-Mar, São Jacinto, Aveiro
Bairro do Pescadores, São Jacinto, Aveiro
Passadiço sobre as dunas, São Jacinto, Aveiro
Praçeta das Tropas Parequedistas, São Jacinto, Aveiro
Rampa de acesso, São Jacinto, Aveiro
Rua 25 de Abril, São Jacinto, Aveiro
Rua Carlos Roeder, São Jacinto, Aveiro
Rua da Base Aerea, São Jacinto, Aveiro
Rua da Esperança, São Jacinto, Aveiro
Rua da Força Aérea, São Jacinto, Aveiro
Rua da Igreja, São Jacinto, Aveiro
Rua da Liberdade, São Jacinto, Aveiro
Rua da Lomba, São Jacinto, Aveiro
Rua da Marinha, São Jacinto, Aveiro
Rua da Nossa Senhora das Areias, São Jacinto, Aveiro
Rua da Saudade, São Jacinto, Aveiro
Rua da Terra Nova, São Jacinto, Aveiro
Rua das Areias do Mar, São Jacinto, Aveiro
Rua de Aveiro, São Jacinto, Aveiro
Rua de José Testada, São Jacinto, Aveiro
Rua de São Jacinto, São Jacinto, Aveiro
Rua do Emigrante, São Jacinto, Aveiro
Rua do Mercado, São Jacinto, Aveiro
Rua do Sol, São Jacinto, Aveiro
Rua dos Bacalhoeiros, São Jacinto, Aveiro
Rua dos Bombeiros, São Jacinto, Aveiro
Rua dos Lugres, São Jacinto, Aveiro
Rua dos Pregões, São Jacinto, Aveiro
Rua Doutor Ginja Brandão, São Jacinto, Aveiro
Rua Dunas de São Jacinto, São Jacinto, Aveiro
Rua Gago Coutinho, São Jacinto, Aveiro
Rua José Testada, São Jacinto, Aveiro
Rua Mestre Jorge Francisco Pestana, São Jacinto, Aveiro
Rua Miguel Torga, São Jacinto, Aveiro
Rua Nova, São Jacinto, Aveiro
Rua Raul Brandão, São Jacinto, Aveiro
Rua Seca do Bacalhau, São Jacinto, Aveiro
Rua Vale de Guimarães, São Jacinto, Aveiro
Travessa da Base Aérea, São Jacinto, Aveiro
Travessa Nossa Snhora das Areias, São Jacinto, Aveiro
Travessa Riamar, São Jacinto, Aveiro
Viela da Igreja, São Jacinto, Aveiro
Ponte da Rata, Eixo e Eirol, Aveiro
Rua Abílio Tavares da Silva, Eixo e Eirol, Aveiro
Rua Almirante Jaime Afreixo, Eixo e Eirol, Aveiro
Rua Caixa de Água, Eixo e Eirol, Aveiro
Rua Coronel Rêgo, Eixo e Eirol, Aveiro
Rua Costa da Lapa, Eixo e Eirol, Aveiro
Rua da Areosa, Eixo e Eirol, Aveiro
Rua da Arrota, Eixo e Eirol, Aveiro
Rua da Capela, Eixo e Eirol, Aveiro
Rua da Cilha Sardinha, Eixo e Eirol, Aveiro
Rua da Covilhã, Eixo e Eirol, Aveiro
Rua da Eirinha, Eixo e Eirol, Aveiro
Rua da Encosta da Fonte, Eixo e Eirol, Aveiro
Rua da Escola, Eixo e Eirol, Aveiro
Rua da Fonte, Eixo e Eirol, Aveiro
Rua da Indústria, Eixo e Eirol, Aveiro
Rua da Nossa Senhora das Dores, Eixo e Eirol, Aveiro
Rua da Ponte da Rata, Eixo e Eirol, Aveiro
Rua da Residência, Eixo e Eirol, Aveiro
Rua da Ribeira, Eixo e Eirol, Aveiro
Rua da Taboeira, Eixo e Eirol, Aveiro
Rua da Viela das Gatas, Eixo e Eirol, Aveiro
Rua da Vila Verde, Eixo e Eirol, Aveiro
Rua das Eiras, Eixo e Eirol, Aveiro
Rua das Pontes, Eixo e Eirol, Aveiro
Rua das Rodadas, Eixo e Eirol, Aveiro
Rua de Santa Eufêmia, Eixo e Eirol, Aveiro
Rua de Santo António, Eixo e Eirol, Aveiro
Rua de São Paulus, Eixo e Eirol, Aveiro
Rua de São Sebastião, Eixo e Eirol, Aveiro
Rua Direita, Eixo e Eirol, Aveiro
Rua do Arrujo de Baixo, Eixo e Eirol, Aveiro
Rua do Arrujo de Cima, Eixo e Eirol, Aveiro
Rua do Barreiro, Eixo e Eirol, Aveiro
Rua do Brejo, Eixo e Eirol, Aveiro
Rua do Cabo, Eixo e Eirol, Aveiro
Rua do Carrajão, Eixo e Eirol, Aveiro
Rua do Emigrante, Eixo e Eirol, Aveiro
Rua do Forno, Eixo e Eirol, Aveiro
Rua do Lameiro, Eixo e Eirol, Aveiro
Rua do Monte Norte, Eixo e Eirol, Aveiro
Rua do Monte Sul, Eixo e Eirol, Aveiro
Rua do Tapado, Eixo e Eirol, Aveiro
Rua do Vale dos Pinheiros, Eixo e Eirol, Aveiro
Rua dos Lagumeiros, Eixo e Eirol, Aveiro
Rua dos Macocos, Eixo e Eirol, Aveiro
Rua dos Poços, Eixo e Eirol, Aveiro
Rua dos Rebelães, Eixo e Eirol, Aveiro
Rua Doutor Álvaro Sampaio, Eixo e Eirol, Aveiro
Rua Engenheiro Robert Erick Zipprich, Eixo e Eirol, Aveiro
Rua Estrada Principal, Eixo e Eirol, Aveiro
Rua Francisco Lopes, Eixo e Eirol, Aveiro
Rua Jerónimo Fernandes Mascarenhas Júnior, Eixo e Eirol, Aveiro
Rua José Estevão, Eixo e Eirol, Aveiro
Rua José Mascarenhas, Eixo e Eirol, Aveiro
Rua Manuel Lopes Póvoa, Eixo e Eirol, Aveiro
Rua Padre Luis Pereira, Eixo e Eirol, Aveiro
Rua Principal, Eixo e Eirol, Aveiro
Rua Professor Augusto Celso Santos, Eixo e Eirol, Aveiro
Travessa da Areosa, Eixo e Eirol, Aveiro
Travessa da Caixa d'Água, Eixo e Eirol, Aveiro
Travessa da Covilhã, Eixo e Eirol, Aveiro
Travessa da Fonte do Rêgo, Eixo e Eirol, Aveiro
Travessa da Galega, Eixo e Eirol, Aveiro
Travessa da Rua Cilha Sardinha, Eixo e Eirol, Aveiro
Travessa da Rua do Lameiro, Eixo e Eirol, Aveiro
Travessa da Rua dos Lagumeiros, Eixo e Eirol, Aveiro
Travessa da Rua José Estevão, Eixo e Eirol, Aveiro
Travessa da Vila Verde, Eixo e Eirol, Aveiro
Travessa da Virginia, Eixo e Eirol, Aveiro
Travessa das Hortas, Eixo e Eirol, Aveiro
Travessa das Rivas, Eixo e Eirol, Aveiro
Travessa das Rodadas, Eixo e Eirol, Aveiro
Travessa de São Paulus, Eixo e Eirol, Aveiro
Travessa do Barreiro, Eixo e Eirol, Aveiro
Travessa do Monte, Eixo e Eirol, Aveiro
Travessa do Rechio, Eixo e Eirol, Aveiro
Viela do Rio, Eixo e Eirol, Aveiro
Viela do Tapado, Eixo e Eirol, Aveiro
Acesso Hotel Aveiro Palace, Glória e Vera Cruz, Aveiro
Arco do Comércio, Glória e Vera Cruz, Aveiro
Avenida 25 de Abril, Glória e Vera Cruz, Aveiro
Avenida 5 de Outubro, Glória e Vera Cruz, Aveiro
Avenida Araújo e Silva, Glória e Vera Cruz, Aveiro
Avenida Central, Glória e Vera Cruz, Aveiro
Avenida Congressos da Oposição Democrática, Glória e Vera Cruz, Aveiro
Avenida da Força Aérea Portuguesa, Glória e Vera Cruz, Aveiro
Avenida da Universidade, Glória e Vera Cruz, Aveiro
Avenida de Artur Ravara, Glória e Vera Cruz, Aveiro
Avenida de Bourges, Glória e Vera Cruz, Aveiro
Avenida de Oita, Glória e Vera Cruz, Aveiro
Avenida de Santa Joana, Glória e Vera Cruz, Aveiro
Avenida Doutor Carlos Candal, Glória e Vera Cruz, Aveiro
Avenida Doutor Francisco do Vale Guimarães, Glória e Vera Cruz, Aveiro
Avenida Doutor Lourenço Peixinho, Glória e Vera Cruz, Aveiro
Avenida Fausto Ferreira, Glória e Vera Cruz, Aveiro
Avenida Francisco Sá Carneiro, Glória e Vera Cruz, Aveiro
Avenida João Jacinto Magalhães, Glória e Vera Cruz, Aveiro
Avenida Nossa Senhora da Alegria, Glória e Vera Cruz, Aveiro
Avenida Vasco Branco, Glória e Vera Cruz, Aveiro